"esco_role","country_name","n_job_offers","median_min_salary","median_max_salary"
aftersales service manager,United Kingdom,13,31200.0,36000.0
agricultural engineer,United Kingdom,11,38400.0,44400.0
agricultural machinery technician,Germany,41,29000.0,39000.0
agricultural machinery technician,Spain,13,21000.0,24000.0
agricultural technician,France,11,23040.0,26880.0
agricultural technician,Germany,16,28000.0,41000.0
agronomic crop production team leader,Brazil,17,7033.32,8038.08
agronomic crop production team leader,Germany,163,38000.0,58000.0
agronomic crop production team leader,Spain,54,19000.0,25000.0
agronomic crop production team leader,United Kingdom,233,29980.62,34733.09333333333
agronomist,Spain,13,26000.0,30000.0
air traffic controller,Germany,14,31000.0,46000.0
air traffic safety technician,Germany,23,31000.0,45000.0
aircraft cargo operations coordinator,United Kingdom,17,36000.0,43200.0
aircraft maintenance coordinator,United Kingdom,24,33600.0,36103.68
aircraft maintenance engineer,Germany,24,31000.0,43000.0
aircraft maintenance engineer,United Kingdom,16,45600.0,54000.0
aircraft maintenance technician,United Kingdom,12,21600.0,21600.0
airline transport pilot,Spain,19,20000.0,24000.0
airport baggage handler,Germany,15,28000.0,40000.0
airport baggage handler,Spain,14,21000.0,24000.0
airport director,United Kingdom,49,96000.0,132000.0
airport operations officer,Spain,11,26000.0,30000.0
ambassador,Spain,68,15600.0,18000.0
ambassador,United Kingdom,48,31200.0,60480.0
ambassador,United States,15,32281.6,40352.0
amusement park cleaner,France,11,21000.0,21875.0
amusement park cleaner,Germany,455,25000.0,33200.62111801242
amusement park cleaner,Spain,74,14400.0,15600.0
amusement park cleaner,United Kingdom,12,27256.32,27648.0
anaesthetic technician,Germany,38,56400.0,56400.0
anaesthetic technician,United States,15,34256.52,49560.21
animal artificial insemination technician,United Kingdom,21,30000.0,72000.0
animal care attendant,Germany,29,26000.0,36000.0
animal handler,Germany,16,26000.0,35000.0
animator,France,26,22809.600000000002,24000.0
animator,Spain,28,11760.0,12000.0
application engineer,Germany,103,40750.0,60000.0
application engineer,United Kingdom,65,48000.0,54000.0
architect,France,37,60000.0,70000.0
architect,Germany,558,33900.0,49248.57142857143
architect,India,50,3379.8379999999997,7040.4839999999995
architect,Spain,341,24766.783333333333,30000.0
architect,United Kingdom,393,39030.0,54751.28571428572
architect,United States,18,80390.69,119537.95
archivist,Spain,26,18000.0,18000.0
art director,Germany,52,36000.0,49000.0
art director,Spain,20,22000.0,27000.0
art director,United Kingdom,57,54000.0,72000.0
artistic painter,Brazil,17,3757.8024,3757.8024
artistic painter,France,12,22809.600000000002,25000.0
artistic painter,Germany,297,28000.0,38288.88888888888
artistic painter,Spain,126,19200.0,20640.0
artistic painter,United Kingdom,29,38016.0,43440.0
arts education officer,United Kingdom,13,28730.399999999998,28800.0
asbestos abatement worker,United Kingdom,128,36000.0,44400.0
asphalt plant operator,Germany,12,30000.0,40000.0
asset manager,Germany,105,47000.0,70750.0
asset manager,Spain,180,17120.0,33000.0
asset manager,United Kingdom,376,30844.488311688314,120000.0
assistant clinical psychologist,Germany,12,33000.0,42000.0
assistant clinical psychologist,United Kingdom,94,24001.92,27360.0
assistant lecturer,Germany,65,33000.0,49000.0
assistant video and motion picture director,Spain,23,18000.0,21288.0
assistant video and motion picture director,United Kingdom,84,24000.0,120000.0
au pair,Germany,28,30000.0,40000.0
au pair,United Kingdom,60,29952.0,34560.0
auction house manager,United Kingdom,14,42000.0,48000.0
auctioneer,Germany,17,28000.0,39000.0
audio-visual technician,Spain,14,18000.0,19200.0
audio-visual technician,United Kingdom,15,42000.0,48000.0
audiologist,Germany,75,27000.0,42000.0
audiologist,Spain,12,25000.0,30000.0
audiology technician,Germany,18,26000.0,35000.0
audit supervisor,United Kingdom,376,46726.31578947369,60000.0
auditing clerk,United Kingdom,227,46500.0,54720.0
automated assembly line operator,Spain,43,18000.0,19200.0
automated assembly line operator,United Kingdom,23,28247.04,28247.04
automation engineer,Brazil,14,2122.05312,2122.05312
automation engineer,France,28,33000.0,40000.0
automation engineer,Germany,114,42266.66666666667,60733.333333333336
automation engineer,India,25,5440.996,8844.473
automation engineer,Spain,49,30000.0,36000.0
automation engineer,United Kingdom,68,45000.0,72000.0
automation engineering technician,Germany,69,34000.0,55000.0
automation engineering technician,Spain,23,25000.0,30000.0
automotive designer,Germany,89,29000.0,40000.0
automotive designer,Spain,12,30000.0,36000.0
automotive electrician,Germany,53,30000.0,40000.0
automotive electrician,Spain,19,21000.0,24000.0
automotive electrician,United Kingdom,18,37200.0,50688.0
automotive engineer,Germany,37,35000.0,58000.0
automotive engineer,Spain,31,28000.0,39000.0
automotive engineer,United Kingdom,13,33600.0,90000.0
automotive engineering technician,France,14,26000.0,30000.0
automotive engineering technician,Germany,77,29000.0,40000.0
automotive engineering technician,Spain,46,23000.0,26000.0
automotive engineering technician,United Kingdom,17,14400.0,192000.0
avionics technician,United Kingdom,35,36000.0,48000.0
babysitter,France,56,19723.0,24500.0
babysitter,Spain,14,180.0,432.0
back office specialist,Germany,32,29000.0,41000.0
back office specialist,Spain,123,16566.666666666668,19346.666666666668
bacteriology technician,United States,18,43135.9,52091.909999999996
baker,Brazil,33,2813.328,2998.20384
baker,France,16,22809.600000000002,23040.0
baker,Germany,157,25966.666666666668,34000.0
baker,Spain,160,15787.777777777777,17311.11111111111
baker,United Kingdom,20,31564.799999999996,34560.0
bakery shop manager,Spain,11,15600.0,15438.0
bakery specialised seller,Germany,88,25000.0,31400.0
bank account manager,Germany,1444,32299.343467724168,45316.97816212585
bank account manager,Ireland,13,45000.0,56470.0
bank account manager,Spain,114,25933.333333333336,32000.0
bank account manager,United Kingdom,708,36000.0,49922.5
bank manager,Germany,13,37000.0,55000.0
bank manager,Spain,18,21000.0,21000.0
bank manager,United Kingdom,13,29537.28,31104.0
bank teller,Germany,30,39000.0,56000.0
bank treasurer,United Kingdom,88,35640.0,84000.0
bankruptcy trustee,United Kingdom,19,30000.0,43200.0
barber,Spain,31,14400.0,18000.0
barista,Germany,24,27000.0,37000.0
barista,Ireland,14,23816.0,23816.0
barista,Spain,45,15600.0,18000.0
barista,United Kingdom,475,28413.890109890104,30928.304
bartender,Brazil,15,2951.98488,3014.2799999999997
bartender,France,16,23040.0,23040.0
bartender,Germany,92,26350.0,34850.0
bartender,Spain,422,15689.150420168067,17916.81818181818
bartender,United Kingdom,108,24000.0,26933.759999999995
beauty vocational teacher,United Kingdom,15,57600.0,108288.0
bicycle mechanic,Germany,28,27000.0,40000.0
bicycle mechanic,Spain,15,12600.0,19200.0
bicycle mechanic,United Kingdom,31,24000.0,48000.0
bid manager,Germany,33,43000.0,65000.0
bid manager,United Kingdom,103,45600.0,64800.0
billing clerk,Brazil,14,3416.184,3416.184
billing clerk,France,17,26400.0,30000.0
billing clerk,Germany,25,30000.0,36000.0
billing clerk,Spain,22,25000.0,27000.0
billing clerk,United Kingdom,550,31138.46715789474,35922.19515570934
bindery operator,Germany,20,27000.0,39000.0
bioinformatics scientist,Germany,22,40000.0,59000.0
biologist,Germany,16,33000.0,57000.0
biologist,Spain,11,19000.0,24000.0
biologist,United Kingdom,12,38400.0,54000.0
biology lecturer,United Kingdom,28,43694.4,64223.999999999985
biology teacher secondary school,United Kingdom,11,36000.0,61436.399999999994
biology technician,Germany,13,28000.0,39000.0
biomedical scientist,United Kingdom,43,55296.0,62208.0
biomedical scientist,United States,14,52364.479999999996,69249.27
blacksmith,Spain,12,19000.0,23000.0
blender operator,Spain,112,16800.0,17999.875
bodyguard,Germany,32,41000.0,53000.0
bodyguard,United Kingdom,52,36000.0,84000.0
boiler operator,Spain,12,27000.0,30000.0
boilermaker,Spain,32,22000.0,24000.0
boilermaker,United Kingdom,22,36864.0,54000.0
bookkeeper,Germany,19,30000.0,43000.0
bookkeeper,Spain,22,18000.0,20500.0
bookkeeper,United Kingdom,389,33600.0,38945.03522807018
botanical technician,Germany,219,30000.0,40000.0
botanist,Germany,19,29000.0,41000.0
botanist,United Kingdom,13,33600.0,48000.0
branch manager,Germany,109,35000.0,56000.0
branch manager,Spain,36,21000.0,24000.0
branch manager,United Kingdom,421,29013.68,42803.294117647056
brand manager,Germany,29,45000.0,63000.0
brand manager,Spain,11,30000.0,36000.0
brand manager,United Kingdom,62,45600.0,55200.0
bricklayer,Spain,27,20000.0,21600.0
bricklayer,United Kingdom,11,57600.0,59904.0
brokerage firm director,United Kingdom,14,45589.2,120000.0
building caretaker,Germany,58,27000.0,38000.0
building caretaker,Spain,16,18001.0,24000.0
building caretaker,United Kingdom,126,32256.0,34689.024
building cleaner,Brazil,14,3516.66,4135.25724
building cleaner,Germany,162,26000.0,35000.0
