Division,Actividad principal,Estimated_Employees_2024,Estimated_Employees_pct,Median_YoY_Growth_pct,Growth_2020_2024_pct,Total_2024,Total_2023,Total_2022,Total_2021,Total_2020,Size_Micro (0-9)_abs,Size_Small (10-49)_abs,Size_Medium (50-249)_abs,Size_Large (250+)_abs,Size_Micro (0-9)_pct,Size_Small (10-49)_pct,Size_Medium (50-249)_pct,Size_Large (250+)_pct,Estrato_Sin asalariados_abs,Estrato_De 1 a 2_abs,Estrato_De 3 a 5_abs,Estrato_De 6 a 9_abs,Estrato_De 10 a 19_abs,Estrato_De 20 a 49_abs,Estrato_De 50 a 99_abs,Estrato_De 100 a 199_abs,Estrato_De 200 a 249_abs,Estrato_De 250 a 999_abs,Estrato_De 1000 a 4999_abs,Estrato_De 5000 o más asalariados_abs,Estrato_Sin asalariados_pct,Estrato_De 1 a 2_pct,Estrato_De 3 a 5_pct,Estrato_De 6 a 9_pct,Estrato_De 10 a 19_pct,Estrato_De 20 a 49_pct,Estrato_De 50 a 99_pct,Estrato_De 100 a 199_pct,Estrato_De 200 a 249_pct,Estrato_De 250 a 999_pct,Estrato_De 1000 a 4999_pct,Estrato_De 5000 o más asalariados_pct,Condicion_Sociedades anónimas_abs,Condicion_Sociedades de responsabilidad limitada_abs,Condicion_Sociedades anónimas_pct,Condicion_Sociedades de responsabilidad limitada_pct
"62 Programación, consultoría y otras actividades relacionadas con la informática","620 Programación, consultoría y otras actividades relacionadas con la informática",406064.0,3.43,3.6,7.9,19518,18619,19715,18523,18082,16124,2656,573,165,82.61,13.61,2.94,0.85,5167,7091,2362,1504,1643,1013,322,215,36,113,42,10,26.47,36.33,12.1,7.71,8.42,5.19,1.65,1.1,0.18,0.58,0.22,0.05,436,19082,2.23,97.77
81 Servicios a edificios y actividades de jardinería,812 Actividades de limpieza,387652.0,3.27,0.8,-1.6,11556,11104,11938,11768,11742,7698,3102,588,168,66.61,26.84,5.09,1.45,1443,3032,1768,1455,2116,986,357,177,54,123,34,11,12.49,26.24,15.3,12.59,18.31,8.53,3.09,1.53,0.47,1.06,0.29,0.1,228,11328,1.97,98.03
56 Servicios de comidas y bebidas,561 Restaurantes y puestos de comidas,375244.0,3.17,2.3,6.6,37551,35747,36997,35053,35217,31111,5829,541,70,82.85,15.52,1.44,0.19,2286,10597,12571,5657,3651,2178,374,139,28,55,14,1,6.09,28.22,33.48,15.06,9.72,5.8,1.0,0.37,0.07,0.15,0.04,0.0,467,37084,1.24,98.76
41 Construcción de edificios,412 Construcción de edificios,362476.0,3.06,-2.2,-21.6,55349,53759,67497,67280,70630,47657,7162,500,30,86.1,12.94,0.9,0.05,11588,20207,10125,5737,4610,2552,358,120,22,25,4,1,20.94,36.51,18.29,10.37,8.33,4.61,0.65,0.22,0.04,0.05,0.01,0.0,1631,53718,2.95,97.05
"46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas","463 Comercio al por mayor de productos alimenticios, bebidas y tabaco",325970.0,2.75,-0.9,-15.0,24930,24910,28869,28792,29341,21097,3066,643,124,84.62,12.3,2.58,0.5,4975,8359,4240,3523,1746,1320,395,211,37,104,20,0,19.96,33.53,17.01,14.13,7.0,5.29,1.58,0.85,0.15,0.42,0.08,0.0,1501,23429,6.02,93.98
43 Actividades de construcción especializada,"432 Instalaciones eléctricas, de fontanería y otras instalaciones en obras de construcción",303430.0,2.56,0.5,-3.4,33816,32844,35325,34655,35003,28145,5194,425,52,83.23,15.36,1.26,0.15,3416,13812,6912,4005,3326,1868,287,117,21,39,12,1,10.1,40.84,20.44,11.84,9.84,5.52,0.85,0.35,0.06,0.12,0.04,0.0,788,33028,2.33,97.67
49 Transporte terrestre y por tubería,494 Transporte de mercancías por carretera y servicios de mudanza,273002.0,2.31,-1.5,-10.5,25186,25216,27344,27299,28132,20643,3941,537,65,81.96,15.65,2.13,0.26,2265,9282,4710,4386,2323,1618,348,165,24,57,8,0,8.99,36.85,18.7,17.41,9.22,6.42,1.38,0.66,0.1,0.23,0.03,0.0,680,24506,2.7,97.3
55 Servicios de alojamiento,551 Hoteles y alojamientos similares,250565.0,2.12,1.5,3.3,8641,8410,8615,8438,8369,6352,1701,480,108,73.51,19.69,5.55,1.25,1115,2058,1596,1583,883,818,301,148,31,81,25,2,12.9,23.82,18.47,18.32,10.22,9.47,3.48,1.71,0.36,0.94,0.29,0.02,898,7743,10.39,89.61
"47 Comercio al por menor, excepto de vehículos de motor y motocicletas",477 Comercio al por menor de otros artículos en establecimientos especializados,242341.0,2.05,-1.3,-13.4,27960,27900,31597,31377,32278,26436,1247,195,82,94.55,4.46,0.7,0.29,5348,13801,5663,1624,785,462,98,77,20,51,28,3,19.13,49.36,20.25,5.81,2.81,1.65,0.35,0.28,0.07,0.18,0.1,0.01,683,27277,2.44,97.56
"47 Comercio al por menor, excepto de vehículos de motor y motocicletas",471 Comercio al por menor en establecimientos no especializados,233708.0,1.97,1.3,0.4,9556,9340,9963,9555,9520,8537,831,107,81,89.34,8.7,1.12,0.85,859,3504,3133,1041,529,302,65,36,6,41,24,16,8.99,36.67,32.79,10.89,5.54,3.16,0.68,0.38,0.06,0.43,0.25,0.17,206,9350,2.16,97.84
"46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas",464 Comercio al por mayor de artículos de uso doméstico,228324.0,1.93,-2.0,-22.4,22612,22928,28021,28504,29156,20235,1885,396,96,89.49,8.34,1.75,0.42,4901,9184,3723,2427,1093,792,247,119,30,84,11,1,21.67,40.62,16.46,10.73,4.83,3.5,1.09,0.53,0.13,0.37,0.05,0.0,1368,21244,6.05,93.95
"71 Servicios técnicos de arquitectura e ingeniería, ensayos y análisis técnicos",711 Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,214806.0,1.81,0.8,-1.5,25989,25346,26818,26198,26376,23603,2036,278,72,90.82,7.83,1.07,0.28,8827,10130,3104,1542,1492,544,169,95,14,52,18,2,33.96,38.98,11.94,5.93,5.74,2.09,0.65,0.37,0.05,0.2,0.07,0.01,638,25351,2.45,97.55
52 Almacenamiento y actividades anexas al transporte,522 Actividades anexas al transporte,195192.0,1.65,-2.3,-15.7,9027,9156,10214,10406,10702,7319,1362,262,84,81.08,15.09,2.9,0.93,1334,3289,1708,988,848,514,155,90,17,59,23,2,14.78,36.44,18.92,10.94,9.39,5.69,1.72,1.0,0.19,0.65,0.25,0.02,904,8123,10.01,89.99
78 Actividades relacionadas con el empleo,782 Actividades de las empresas de trabajo temporal,178586.0,1.51,-4.3,-21.1,330,331,383,404,418,91,71,74,94,27.58,21.52,22.42,28.48,23,35,19,14,32,39,29,36,9,56,29,9,6.97,10.61,5.76,4.24,9.7,11.82,8.79,10.91,2.73,16.97,8.79,2.73,48,282,14.55,85.45
82 Actividades administrativas de oficina y otras actividades auxiliares a las empresas,829 Actividades de apoyo a las empresas n.c.o.p.,170730.0,1.44,0.8,-6.1,35700,33931,38661,38060,38032,34384,1082,166,68,96.31,3.03,0.46,0.19,18289,13054,2143,898,793,289,94,59,13,55,11,2,51.23,36.57,6.0,2.52,2.22,0.81,0.26,0.17,0.04,0.15,0.03,0.01,682,35018,1.91,98.09
"46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas",467 Otro comercio al por mayor especializado,170200.0,1.44,-1.4,-14.3,20140,20227,22836,23038,23509,17389,2371,346,34,86.34,11.77,1.72,0.17,3379,7071,3845,3094,1429,942,224,107,15,31,3,0,16.78,35.11,19.09,15.36,7.1,4.68,1.11,0.53,0.07,0.15,0.01,0.0,1744,18396,8.66,91.34
85 Educación,855 Otra educación,164296.0,1.39,2.5,3.8,18540,17669,18784,17959,17869,16134,2049,298,59,87.02,11.05,1.61,0.32,4668,6625,2751,2090,1250,799,196,87,15,55,4,0,25.18,35.73,14.84,11.27,6.74,4.31,1.06,0.47,0.08,0.3,0.02,0.0,182,18358,0.98,99.02
56 Servicios de comidas y bebidas,563 Establecimientos de bebidas,163512.0,1.38,-0.8,-9.0,30691,29488,33171,32639,33737,27888,2669,127,7,90.87,8.7,0.41,0.02,3605,10695,9847,3741,1791,878,108,17,2,5,2,0,11.75,34.85,32.08,12.19,5.84,2.86,0.35,0.06,0.01,0.02,0.01,0.0,196,30495,0.64,99.36
49 Transporte terrestre y por tubería,493 Otro transporte terrestre de pasajeros,142413.0,1.2,0.5,0.4,4172,4090,4238,4112,4156,3184,810,119,59,76.32,19.42,2.85,1.41,411,1326,741,706,454,356,86,27,6,37,16,6,9.85,31.78,17.76,16.92,10.88,8.53,2.06,0.65,0.14,0.89,0.38,0.14,256,3916,6.14,93.86
68 Actividades inmobiliarias,682 Alquiler de bienes inmobiliarios por cuenta propia,139564.0,1.18,4.2,17.7,86216,80943,79523,74954,73227,85551,622,38,5,99.23,0.72,0.04,0.01,54809,26179,3644,919,426,196,28,10,0,4,0,1,63.57,30.36,4.23,1.07,0.49,0.23,0.03,0.01,0.0,0.0,0.0,0.0,5971,80245,6.93,93.07
56 Servicios de comidas y bebidas,562 Provisión de comidas preparadas para eventos y otros servicios de comidas,139236.0,1.18,1.4,0.9,4998,4759,5099,4967,4955,4197,579,153,69,83.97,11.58,3.06,1.38,931,1652,1153,461,303,276,81,56,16,51,13,5,18.63,33.05,23.07,9.22,6.06,5.52,1.62,1.12,0.32,1.02,0.26,0.1,59,4939,1.18,98.82
10 Industria de la alimentación,101 Procesado y conservación de carne y elaboración de productos cárnicos,134055.0,1.13,-2.4,-12.3,2447,2512,2674,2734,2789,1366,855,164,62,55.82,34.94,6.7,2.53,122,472,400,372,455,400,103,47,14,41,20,1,4.99,19.29,16.35,15.2,18.59,16.35,4.21,1.92,0.57,1.68,0.82,0.04,396,2051,16.18,83.82
69 Actividades jurídicas y de contabilidad,"692 Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",133309.0,1.13,-0.1,-6.5,31270,30750,33391,33193,33450,29467,1697,85,21,94.23,5.43,0.27,0.07,9015,12460,5517,2475,1476,221,59,22,4,15,6,0,28.83,39.85,17.64,7.91,4.72,0.71,0.19,0.07,0.01,0.05,0.02,0.0,717,30553,2.29,97.71
86 Actividades sanitarias,862 Actividades médicas y odontológicas,124090.0,1.05,2.6,10.1,16638,15962,16042,15274,15117,14780,1735,93,30,88.83,10.43,0.56,0.18,2349,5800,4345,2286,1339,396,59,26,8,23,7,0,14.12,34.86,26.11,13.74,8.05,2.38,0.35,0.16,0.05,0.14,0.04,0.0,176,16462,1.06,98.94
80 Actividades de seguridad e investigación,801 Actividades de seguridad privada,116204.0,0.98,-1.0,-14.4,1037,1017,1187,1187,1212,619,232,123,63,59.69,22.37,11.86,6.08,222,222,92,83,134,98,57,56,10,44,14,5,21.41,21.41,8.87,8.0,12.92,9.45,5.5,5.4,0.96,4.24,1.35,0.48,103,934,9.93,90.07
87 Asistencia en establecimientos residenciales,873 Asistencia en establecimientos residenciales para personas mayores y con discapacidad física,114604.0,0.97,-0.4,-7.2,1497,1460,1628,1560,1613,438,763,252,44,29.26,50.97,16.83,2.94,193,61,65,119,333,430,193,48,11,28,14,2,12.89,4.07,4.34,7.95,22.24,28.72,12.89,3.21,0.73,1.87,0.94,0.13,82,1415,5.48,94.52
82 Actividades administrativas de oficina y otras actividades auxiliares a las empresas,822 Actividades de los centros de llamadas,114245.0,0.97,6.7,35.0,428,446,424,343,317,187,132,57,52,43.69,30.84,13.32,12.15,4,67,59,57,90,42,30,24,3,26,21,5,0.93,15.65,13.79,13.32,21.03,9.81,7.01,5.61,0.7,6.07,4.91,1.17,29,399,6.78,93.22
"47 Comercio al por menor, excepto de vehículos de motor y motocicletas",475 Comercio al por menor de otros artículos de uso doméstico en establecimientos especializados,110152.0,0.93,-1.4,-14.6,24661,24745,28056,28236,28877,23705,883,62,11,96.12,3.58,0.25,0.04,3573,12704,5833,1595,630,253,36,22,4,4,5,2,14.49,51.51,23.65,6.47,2.55,1.03,0.15,0.09,0.02,0.02,0.02,0.01,750,23911,3.04,96.96
"46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas","466 Comercio al por mayor de otra maquinaria, equipos y suministros",107151.0,0.91,-2.5,-19.5,11354,11602,13408,13713,14105,9782,1315,226,31,86.15,11.58,1.99,0.27,2014,4319,1938,1511,797,518,147,67,12,28,3,0,17.74,38.04,17.07,13.31,7.02,4.56,1.29,0.59,0.11,0.25,0.03,0.0,1193,10161,10.51,89.49
"70 Actividades de las sedes centrales, actividades de consultoría de gestión empresarial",702 Actividades de consultoría de gestión empresarial,104754.0,0.88,3.4,9.0,15058,14082,14779,14053,13818,13908,990,125,35,92.36,6.57,0.83,0.23,4804,6317,1934,853,728,262,72,45,8,27,7,1,31.9,41.95,12.84,5.66,4.83,1.74,0.48,0.3,0.05,0.18,0.05,0.01,335,14723,2.22,97.78
45 Venta y reparación de vehículos de motor y motocicletas,451 Venta de vehículos de motor,102172.0,0.86,-0.5,-17.9,7960,7808,9603,9510,9696,6777,894,238,51,85.14,11.23,2.99,0.64,2243,3206,928,400,507,387,137,87,14,47,4,0,28.18,40.28,11.66,5.03,6.37,4.86,1.72,1.09,0.18,0.59,0.05,0.0,596,7364,7.49,92.51
"25 Fabricación de productos metálicos, excepto maquinaria y equipo",251 Fabricación de elementos metálicos para la construcción,101433.0,0.86,0.1,-4.5,9286,9144,9745,9637,9722,7161,1919,185,21,77.12,20.67,1.99,0.23,537,3176,2083,1365,1132,787,130,47,8,20,1,0,5.78,34.2,22.43,14.7,12.19,8.48,1.4,0.51,0.09,0.22,0.01,0.0,379,8907,4.08,95.92
73 Publicidad y estudios de mercado,731 Publicidad,99441.0,0.84,0.6,-8.4,16419,15847,18140,17825,17932,15234,1060,93,32,92.78,6.46,0.57,0.19,5772,6842,1739,881,797,263,57,28,8,24,8,0,35.15,41.67,10.59,5.37,4.85,1.6,0.35,0.17,0.05,0.15,0.05,0.0,255,16164,1.55,98.45
